192
-113/70 -3/14
7  63 66 70 75 84 72 64
4  65 67 75 70
4  67 73 78 75
4  68 71 74 69
4  69 74 85 73
3  71 76 74
5  73 85 87 89 78
5  74 76 80 86 85
3  75 78 84
3  76 79 80
3  77 81 79
5  78 89 96 97 84
4  79 81 82 80
4  80 82 88 86
3  81 83 82
4  82 83 91 88
3  83 99 91
3  85 86 87
4  86 88 90 87
4  87 90 92 89
5  88 91 94 93 90
3  89 92 96
3  90 93 92
4  91 99 101 94
6  92 93 95 100 98 96
3  93 94 95
5  94 101 108 109 95
3  95 109 100
3  96 98 97
4  97 98 103 102
4  98 100 105 103
3  99 104 101
4  100 109 110 105
4  101 104 107 108
4  102 103 114 115
4  103 105 113 114
3  104 106 107
3  105 110 111
3  105 111 112
3  105 112 113
3  107 127 108
7  108 127 140 134 120 110 109
4  110 120 138 132
3  110 132 124
4  110 124 118 111
4  111 118 117 112
5  112 117 131 125 113
4  113 125 122 114
4  114 122 121 115
3  115 121 116
4  116 126 136 123
3  116 121 126
4  117 119 133 131
3  117 118 119
4  118 124 128 119
4  119 128 139 133
5  120 134 144 145 146
4  120 146 147 138
3  121 122 126
4  122 125 129 126
4  124 132 137 128
4  125 131 135 129
3  126 129 130
3  126 130 136
3  127 141 140
5  128 137 150 151 139
4  129 135 154 130
3  130 154 136
4  131 133 153 135
5  132 138 148 149 137
4  133 139 152 153
4  134 140 142 143
3  134 143 144
3  135 153 154
3  137 149 150
3  138 147 148
3  139 151 152
3  140 141 142
4  141 171 166 142
4  142 166 164 143
4  143 164 160 144
3  144 160 145
4  145 160 162 159
4  145 159 155 146
3  146 155 147
5  147 155 165 156 148
3  148 156 149
5  149 156 163 158 150
3  150 158 151
5  151 158 173 157 152
3  152 157 153
3  153 157 161
3  153 161 154
4  155 159 172 165
4  156 165 170 163
4  157 173 179 161
4  158 163 175 173
4  159 162 174 172
4  160 164 167 162
5  162 167 169 180 174
4  163 170 185 175
4  164 166 168 167
5  165 172 176 177 170
3  166 171 168
3  167 168 169
5  168 171 184 182 169
3  169 182 180
4  170 177 186 185
3  172 174 176
3  173 175 179
5  174 180 181 178 176
4  175 185 187 179
3  176 178 177
4  177 178 188 186
4  178 181 189 188
4  180 182 183 181
4  181 183 191 189
3  182 184 183
3  183 184 191
3  185 186 187
4  186 188 190 187
3  188 189 190
3  189 191 190
