243
-394181861/129952550 291629727/129952550
-40218124149/13883444978 3375067264859/1388344497800
-212976923/73544575 1890207607/882534900
-81404905149/28114020350 34231346484/14057010175
-9546570048231/3297318182275 8024958202767/3297318182275
-3959154048803139/1367572110346975 3328922952190023/1367572110346975
-11206608140567/3871345234250 4706128982548/1935672617125
-324444832/112101925 9829426939/4035669300
-28402755439163/9815649935650 1443882685252868/593846821106825
-356872284501/123399228550 134581458616/61699614275
-330695345187/114351433300 138182897667/57175716650
-451869347221/156277223700 62868134987/26046203950
-5229448978796171/1808646171673900 2182996609230511/904323085836950
-32234618439/11148786350 13454948274/5574393175
-17297295248/5984243525 12905185961/5984243525
-3651316763477/1263250338675 2034891638201/842166892450
-1344384797929107/465203123146450 1025768428799249/465203123146450
-130328791465877/45121196178500 600839099682127/248166578981750
-1303790269630401/451735101318800 8790187354853131/3613880810550400
-3422774739807/1186425917300 1432162615587/593212958650
-2447487235051887/848377202112050 1010020620616392/424188601056025
-114648028587/39746915650 47959971492/19873457825
-5498241694538706/1906370538541625 9270678888806609/3812741077083250
-238922093608997/82853621122350 470293598316251/193325115952150
-62174037/21574540 26030757/10787270
-194192068193/67388251450 1763217703537/808659017400
-27453191229/9530695850 23258153653/9530695850
-20406606397/7084556050 8353746602/3542278025
-326599150656933/113706290621300 125561396672483/56853145310650
-5952203597898382/2073009434564575 9157420262313523/4146018869129150
-60417973072/21048742975 46542583779/21048742975
-323803591/112815950 121312206/56407975
-229880605213/80096797950 12999009929/5339786530
-7091798437/2476238700 66225897133/29714864400
-14792175833/5168826975 138598161797/62025923700
-13245564422123/4630535665925 248034511222789/111132855982200
-1059842612972733/370779395391275 826002426472081/370779395391275
-1291029413096/451707209525 1013888306747/451707209525
-1612014556113759/564014952231250 665861538733944/282007476115625
-786284787141/275275202150 307708582776/137637601075
-405829639633/142118107950 158580751688/71059053975
-16807569613/5891145650 6925309858/2945572825
-3548119535158161/1243873613926775 2756251972574727/1243873613926775
-13839868915739669/4852958192059900 5368903321432093/2426479096029950
-35899206056655422613/12592014688474298675 944533532841254173/426847955541501650
-1591598169/558367550 608049904/279183775
-307566362369693/107972149292150 127086585039588/53986074646075
-16705858737/5870713550 6591211832/2935356775
-79888744399/28114020350 30369407234/14057010175
-2329467707/820249950 135134253/57561400
-480410215252/169318890325 750268786753/338637780650
-974168506458/344030811475 829076271081/344030811475
-1425675971851/504265161725 13103110351609/6051181940700
-204811559233/72459476700 29099311451/12076579450
-4892373463423/1732148963350 113303085382083/48500170973800
-20149489/7140250 66916267/28561000
-263737000724994/93673264741225 450240614758141/187346529482450
-110668269632/39413465975 93852389199/39413465975
-579101434/206353225 984453801/412706450
-23317173371/8317622300 9915657861/4158811150
-82697863982/29508511175 141395223923/59017022350
-15337559873802/5474084800925 78749069534459/32844508805550
-19841499928/7090982275 17073292221/7090982275
-35416885761/12662519350 15632097976/6331259675
-110014936507/39352773850 45544943112/19676386925
-149172471417/53397865300 12766129931/5339786530
-42662941692354/15289315109575 3256151492446267/1360749044752175
-74145184043/26571946050 10825317128/4428657675
-8133057381772/2917215541825 7104703617554/2917215541825
-116390000768111/41765114233050 17018091125592/6960852372175
-739680174916/265540899325 648436897112/265540899325
-26430131467/9492248350 649873392607/265782953800
-140917277/50640850 59062382/25320425
-33772532/12138425 29749624/12138425
-31977079559019/11496677894650 13245065642004/5748338947325
-217240740811/78138611850 31341399392/13023101975
-467940496807/168384231600 1098226622639/449024617600
-12456872884003/4488182643750 1808779246216/748030440625
-26396450327127/9527756373850 11462813393032/4763878186925
-748647575564492/270283007109375 73027599331116/30031445234375
-76315030276799/27617873707450 2602700105669968/1063288137736825
-32346142837836/11715368757625 316147283950172/128869056333875
-203530616552646/73755801445625 175554469894072/73755801445625
-922717679292/334498577725 807541035869/334498577725
-161092313/58414850 142382891/58414850
-169329759/61406150 285660001/122812300
-31853925211/11551606300 13673711301/5775803150
-953395954077/345919627300 409805461747/172959813650
-2048029784439/743284316450 880938386024/371642158225
-4841382054393/1757579348200 520350237772/219697418525
-4816265273/1749145944 24633068/10411583
-433539617/157533350 192914647/78766675
-29734059481/10808513300 13074015991/5404256650
-30248312508594/10995944300575 26133496328183/10995944300575
-17517677/6371300 31277153/12742600
-26185649967/9530695850 11846813872/4765347925
-30744953/11204700 4411691/1867450
-1862121564273/678996361550 794348039768/339498180775
-996709608252/363487992725 868306784089/363487992725
-115801/42250 104457/42250
-170946175457/62376956980 74569937423/31188478490
-166640440657482/60829014632425 288569048121923/121658029264850
-205080973/74926150 92912168/37463075
-7448275768/2721664725 4319233709/1814443150
-484433724/177048625 842440571/354097250
-28793754824/10524014475 16694313587/7016009650
-1089313627/398425950 154045544/66404325
-1590513024145662/582084249411275 2757996161074393/1164168498822550
-11541/4225 126319/50700
-6378033336183/2337889216000 44275659808573/18703113728000
-71248481/26118950 61552817/26118950
-7195179/2638090 6216723/2638090
-13739482051/5037763250 35623632221/15113289750
-4609/1690 31869/13520
-9901921944/3632549375 17173603241/7265098750
-293544719432622/107706931596875 509706098657533/215413863193750
-943958799/346424650 816128943/346424650
-8381698523/3077447750 58109622113/24619582000
-1364784681843/501266751050 590959398138/250633375525
-108416994873/39826172425 751358891863/318609379400
-463845924421/170402066250 28958593841/12281230000
-71897556/26418925 64928992/26418925
-12146492/4465825 10515119/4465825
-12306038276283/4525008757750 256705637194519/108600210186000
-12476077399251/4591429944725 86789689160631/36731439557800
-3630309249/1336544950 3279475393/1336544950
-194988/71825 347207/143650
-921435381/339546350 832510517/339546350
-14816061479/5461522300 6633917009/2730761150
-1278818940785823/471903634588750 1272682423730559/539318439530000
-5251922521588/1938275842425 1511012267272/646091947475
-136177459/50264825 123861338/50264825
-1095263893/404412775 989886801/404412775
-846283/312650 770231/312650
-69615680156/25719784675 63341333842/25719784675
-7306957/2699775 6604649/2699775
-17551315352/6485489075 15950216014/6485489075
-55269295203/20426223025 50031383351/20426223025
-125068488553/46224770150 794378874347/323573391050
-2859922543/1057042610 2594502731/1057042610
-847303447/313182350 385534252/156591175
-6469329/2391350 5847953/2391350
-6252591019/2311298925 5666861933/2311298925
-175800339697/64991489225 159224068379/64991489225
-11324247/4186975 10247229/4186975
-7830625463/2895316450 7084867891/2895316450
-166867541912/61699614275 302925747493/123399228550
-169613600177/62716770350 16208473597/6601765300
-2255523901308/834013331125 2051317197556/834013331125
-1360439747/503062300 615643577/251531150
-17823847/6591000 16112879/6591000
-928633613/343446025 838592791/343446025
-1385343261239/512375057675 1259429843948/512375057675
-216191159/79970800 393406851/159941600
-616409675539/228052664450 559951950323/228052664450
-49764594961/18413057000 5651527144/2301632125
-37625630923237/13921704744350 17091649182892/6960852372175
-1348293953/498883775 1218988221/498883775
-34832164663/12889139900 15799585153/6444569950
-160289419627/59328666800 9096445754/3708041675
-2339814869257/866159670350 1062054875212/433079835175
-146273599/54156050 66378484/27078025
-176240580588907/65259784777850 80035977439612/32629892388925
-42266731339/15651098450 38433773243/15651098450
-200817023/74368450 182665411/74368450
-7385796212/2735331755 6603028474/2735331755
-5436040463/2013440650 4944498241/2013440650
-5835881539/2162616950 2653775074/1081308475
-5301111213/1965736175 4616727816/1965736175
-39623651/14694550 18014966/7347275
-12142002331/4503520450 10736187767/4503520450
-11899965393/4414102550 10515901701/4414102550
-871357803237/323538898150 764305774809/323538898150
-75419838666/28017626975 65907870312/28017626975
-1644980353/616364125 47483331247/19723652000
-87444014808/32768647925 631088621273/262149183400
-69839564207/26174728450 58108315449/26174728450
-82767077/31087550 75013989/31087550
-1082402931/406554850 981010867/406554850
-35969573/13511550 97818533/40534650
-58463/21970 52991/21970
-4831947705391/1818178265475 3650013624969/1616158458200
-2200285732/828129575 1991601949/828129575
-173185132/65246675 627514321/260986700
-16450133761/6198451025 14874791302/6198451025
-167239660354289/63080561803350 580831020623/245211124600
-36220861271/13676658775 31949984822/13676658775
-2335005600353/882654856200 3103755067/1348079200
-3642566498/1380210325 12311488469/5520841300
-61008273333/23135178950 54849951381/23135178950
-65626656153/24887607550 58066195521/24887607550
-46873673823/17823492050 42038317311/17823492050
-5377936513/2047933550 4858751841/2047933550
-220641/84500 196587/84500
-805843/312650 724651/312650
-18342671/7140250 16095047/7140250
231
3  0 2 1
6  0 1 2 6 14 8
3  3 5 13
4  4 20 21 7
3  4 7 6
3  5 8 9
5  5 9 11 15 13
5  6 7 22 24 14
3  7 21 22
6  8 14 27 28 10 9
3  9 10 11
3  10 12 11
6  10 28 29 40 31 12
4  11 12 17 15
5  12 31 26 23 17
3  13 15 16
3  14 24 27
4  15 17 18 16
3  16 18 19
3  17 23 18
4  18 23 25 19
4  19 25 33 35
4  20 47 45 21
6  21 45 42 38 34 22
3  22 34 24
3  23 26 25
7  24 34 63 80 81 36 27
4  25 26 32 33
3  26 31 32
4  27 36 30 28
3  28 30 29
5  29 30 41 46 40
3  30 36 41
4  31 40 43 32
5  32 43 44 37 33
3  33 37 35
3  34 38 63
3  35 37 39
5  36 81 84 74 41
4  37 44 48 39
3  38 42 56
4  38 56 75 63
4  39 48 51 50
4  40 46 58 43
4  41 74 67 46
4  42 45 49 61
4  42 61 72 56
5  43 58 59 57 44
4  44 57 53 48
3  45 47 49
4  46 67 60 58
3  48 53 51
3  49 78 61
3  50 52 54
3  50 51 52
4  51 53 55 52
4  52 55 65 54
5  53 57 62 64 55
4  54 65 70 73
4  55 64 69 65
4  56 72 76 75
3  57 59 62
3  58 60 59
5  59 60 68 66 62
4  60 67 85 68
4  61 78 92 72
3  62 66 64
4  63 75 77 80
5  64 66 71 98 69
3  65 69 70
3  66 68 71
4  67 74 88 85
6  68 85 93 104 105 71
5  69 98 100 79 70
3  70 79 73
5  71 105 107 103 98
5  72 92 95 90 76
4  73 79 114 110
5  74 84 101 96 88
3  75 76 77
5  76 90 89 83 77
4  77 83 82 80
3  78 95 92
5  79 100 109 115 114
3  80 82 81
4  81 82 86 84
4  82 83 87 86
3  83 89 87
5  84 86 94 111 101
3  85 88 93
3  86 87 94
8  87 89 91 97 99 223 121 94
3  88 96 93
3  89 90 91
4  90 95 99 91
3  91 99 97
4  93 96 102 104
3  94 121 111
3  96 101 102
3  98 103 100
4  100 103 108 109
4  101 111 119 102
5  102 119 133 106 104
3  103 107 108
3  104 106 105
4  105 106 112 107
4  106 133 134 112
4  107 112 113 108
6  108 113 125 124 122 109
3  109 122 115
6  110 116 118 120 128 142
3  110 114 116
4  111 121 132 119
5  112 134 135 129 113
3  113 129 125
4  114 115 117 116
4  115 122 124 117
3  116 117 118
5  117 124 126 123 118
3  118 123 120
5  119 132 144 137 133
4  120 123 127 128
6  121 223 228 177 153 132
3  123 126 127
4  124 125 130 126
5  125 129 140 145 130
6  126 130 139 131 138 127
4  127 138 141 128
5  128 141 146 149 142
3  129 135 140
4  130 145 147 139
4  131 139 179 174
4  131 174 172 138
3  132 153 144
4  133 137 136 134
3  134 136 135
5  135 136 143 148 140
3  136 137 143
8  137 144 163 158 157 154 148 143
4  138 172 168 141
6  139 147 175 188 182 179
5  140 148 151 150 145
3  141 168 146
3  142 149 155
5  144 153 177 169 163
3  145 150 147
5  146 168 183 181 178
3  146 178 149
4  147 150 152 175
3  148 154 151
4  149 178 180 155
3  150 151 152
4  151 154 156 152
7  152 156 162 173 212 198 175
5  154 157 159 161 156
3  156 161 162
3  157 158 159
3  158 160 159
4  158 163 165 160
4  159 160 164 161
4  160 165 166 164
4  161 164 170 162
5  162 170 217 212 173
4  163 169 167 165
4  164 166 171 170
3  165 167 166
4  166 167 176 171
5  167 169 215 220 176
4  168 172 185 183
3  169 177 215
4  170 171 218 217
4  171 176 219 218
4  172 174 186 185
5  174 179 184 189 186
4  175 198 197 188
3  176 220 219
5  177 228 234 233 215
3  178 181 180
3  179 182 184
3  180 181 187
4  181 183 195 187
4  182 188 192 191
4  182 191 190 184
5  183 185 194 199 195
3  184 190 189
4  185 186 193 194
3  186 189 193
3  187 195 200
3  188 197 192
7  189 190 205 206 203 201 193
4  190 191 196 205
3  191 192 196
5  192 197 204 216 196
3  193 201 194
4  194 201 202 199
3  195 199 200
6  196 216 214 208 207 205
3  197 198 204
5  198 212 221 224 204
4  199 202 211 200
3  201 203 202
4  202 203 210 211
3  203 206 210
4  204 224 226 216
3  205 207 206
5  206 207 209 213 210
3  207 208 209
3  208 214 209
3  209 214 213
3  210 213 211
3  212 217 221
5  215 233 232 219 220
4  217 218 222 221
6  218 219 232 231 229 222
4  221 222 225 224
4  222 229 227 225
3  223 235 228
3  224 225 226
3  225 227 226
3  227 229 230
3  228 235 234
3  229 231 230
4  230 231 236 239
3  231 232 236
5  232 233 237 238 236
3  233 234 237
5  234 235 242 240 237
3  236 238 239
3  237 240 238
4  238 240 241 239
3  240 242 241
