155
7490606/5386875 -5548417/5386875
340663922/199314375 -231556304/199314375
37488971549/21793500625 -68637672629/65380501875
3092352/1795625 -6951067/5386875
120394899/69891250 -110074927/104836875
56674777/32873750 -102411367/98621250
18577087/10773750 -135504883/129285000
524983488/303460625 -1314607573/910381875
111047732793/64155885625 -207012318728/192467656875
76043897/43923750 -137100887/131771250
13080046578/7539829375 -30400826588/22619488125
539214521/310643125 -1167034091/931929375
3242731503/1865654375 -1944661046/1865654375
481383/276250 -851993/828750
2574908877/1467025625 -4629598717/4401076875
15890934887/9033789375 -28406590802/27101368125
28436543/16160625 -2129189/1795625
20705403156/11766730625 -46024350676/35300191875
193513072/109533125 -424679812/328599375
164726083981/93189293125 -287967143626/279567879375
6633361687/3748021875 -19265234/18646875
750741047/423767500 -366244478/317825625
1127548225693/636419703125 -1977694598378/1909259109375
514783667/289786250 -3569195603/3477435000
137238436/77211875 -243972931/231635625
269357342/151459375 -1870789303/1817512500
118361524/66438125 -87142368/66438125
2447924651/1372027500 -120471686/114335625
136297868329/76338638125 -241723092634/229015914375
253981808/141854375 -467990293/425563125
2970199/1657500 -441242/414375
42998894884/23964931875 -76059713539/71894795625
57229/31875 -2789399/2645625
648199252/360920625 -391339489/360920625
33513667/18646875 -6665798/6215625
763701896/424734375 -452359447/424734375
266237473/148016875 -470324008/444050625
64238634659/35703697500 -1066343658/991769375
49578135202/27543920625 -3284138321/3060435625
4194877/2326875 -71878931/67479375
168494129/93372500 -103015171/70029375
566455213/313554375 -113475422/104518125
543767426/300868125 -326982782/300868125
191016/105625 -344111/316875
4249703/2348125 -7576588/7044375
3253675752/1797420625 -7636109342/5392261875
1568734462/863695625 -3515502502/2591086875
2225771989/1224616250 -2223054872/1836924375
57375724747/31091767500 -8870539426/7772941875
122619301/66300000 -45154894/39365625
43209976/23343125 -98174396/70029375
399271978291/215446312500 -62073155678/53861578125
2878004639/1552663125 -1769983048/1552663125
1518341189/817434375 -312161716/272478125
4211/2250 -442/375
2458349/1298375 -4668554/3895125
230543/121550 -220114/182325
811/425 -1556/1275
5606631647/2930736250 -5497414006/4396104375
13275503/6906250 -13206694/10359375
15434007/8011250 -15095786/12016875
59331984/30525625 -125432639/91576875
144464127/74311250 -143843546/111466875
149
3  0 3 4
3  0 2 3
3  0 1 2
3  1 6 2
4  1 8 9 6
5  2 6 7 5 3
3  3 5 4
7  4 5 17 51 55 47 52
3  5 7 17
4  6 9 10 7
3  7 10 17
3  8 11 9
4  8 12 13 11
5  9 11 14 15 10
3  10 15 17
3  11 13 14
3  12 16 13
4  12 18 19 16
5  13 16 22 24 14
4  14 24 28 15
4  15 28 51 17
3  16 19 22
3  18 20 19
3  18 21 20
4  19 20 23 22
5  20 21 31 27 23
3  21 32 31
6  22 23 26 30 35 24
3  23 27 26
4  24 35 38 28
3  25 42 32
5  25 29 50 46 42
3  26 27 30
5  27 31 34 36 30
9  28 38 41 54 57 56 62 61 51
3  29 87 50
5  29 74 102 73 87
4  30 36 37 35
4  31 32 33 34
3  32 39 33
4  32 42 43 39
4  33 45 44 34
4  33 39 49 45
4  34 44 40 36
3  35 37 38
3  36 40 37
5  37 40 60 72 38
4  38 79 77 41
4  38 72 81 79
4  39 43 59 49
4  40 44 48 60
4  41 76 70 54
3  41 77 76
3  42 46 43
5  43 46 53 71 59
3  44 45 48
5  45 49 78 69 48
3  46 50 53
3  47 58 52
3  47 55 58
3  48 69 60
5  49 59 85 84 78
7  50 87 103 108 92 89 53
3  51 61 55
3  53 89 71
4  54 70 68 57
4  55 61 63 58
4  56 65 64 62
4  56 57 66 65
3  57 68 66
4  59 71 86 85
4  60 69 75 72
3  61 62 63
3  62 64 63
3  64 65 67
3  65 66 67
5  66 68 111 115 67
6  68 70 105 101 104 111
4  69 78 83 75
3  70 76 105
4  71 89 91 86
4  72 75 82 81
6  73 102 109 95 103 87
5  74 99 137 138 102
3  74 80 99
3  75 83 82
4  76 77 97 105
4  77 79 90 97
3  78 84 83
3  79 81 90
4  81 82 94 90
6  82 83 84 88 96 94
3  84 85 88
4  85 86 100 88
6  86 91 93 121 125 100
4  88 100 106 96
3  89 92 91
5  90 94 98 101 97
3  91 92 93
4  92 108 113 93
3  93 113 121
3  94 96 98
4  95 109 110 103
5  96 106 107 104 98
3  97 101 105
3  98 104 101
3  99 132 137
8  100 125 129 126 122 120 116 106
4  102 138 118 109
4  103 110 139 108
5  104 107 114 112 111
3  106 116 107
4  107 116 119 114
6  108 139 143 141 140 113
3  109 118 110
7  110 118 153 154 151 150 139
3  111 112 115
3  112 117 115
3  112 114 117
4  113 140 134 121
4  114 119 124 117
3  116 120 119
4  118 138 142 153
4  119 120 123 124
3  120 122 123
4  121 134 133 125
4  122 127 128 123
3  122 126 127
3  123 128 124
3  125 133 129
4  126 130 131 127
3  126 129 130
3  127 131 128
5  129 133 135 136 130
3  130 136 131
3  132 142 137
3  133 134 135
5  134 140 144 136 135
3  137 142 138
5  139 150 148 146 143
3  140 141 144
3  141 145 144
3  141 143 145
4  143 146 147 145
3  146 148 147
3  147 148 149
4  148 150 152 149
3  150 151 152
3  151 154 152
