165
-17091727/61473750 -4616311/61473750
3872733928925/13144698905754 88607302757/4381566301918
1096464288790625/3707023482294717 39928586514647/2471348988196478
4357705243/14643047250 116058367/4881015750
3364643251/11290678750 282793079/33872036250
364453574059845/1213228559807186 16387323033729/1213228559807186
50783881/168028250 4927467/168028250
156934245578345/518083493401786 29396652055387/1554250480205358
2010750938425/6631997530522 443580230791/22738277247504
6213791/20491250 -728011/61473750
18733907/61473750 1689017/20491250
1805285869865/5898864200762 453731062129/17696592602286
93967906225/306713312906 314894761/11949869334
899225251/2889266250 9716208343/147352578750
38974936707535/125147620373058 299526508979/41715873457686
935047960884305/2990724149786334 29931721079051/2990724149786334
38448391/122947500 3820169/61473750
854261548225/2725890097014 760911868/64902145167
190510010595/603923927786 29932812137/1811771783358
843706752475/2665416367796 87002656319/4569285201936
136597817/430316250 9249649/184421250
42296045431/132598878750 31562371549/397796636250
18676149747/58441045000 3210613597/43830783750
60862651231/189564553750 2996660659/51699423750
19844783/61473750 4826369/61473750
34530113272/106908998625 39450211/71272665750
854548397/2643371250 279878363/7930113750
1019161942437/3152107513750 329153686273/9456322541250
19880741/61473750 36557971/1045053750
6669087943/20552723750 4027688747/61658171250
19852892408875/60992710073438 69866322557/5544791824858
303832138265/931650451992 203213043577/32840678432718
1688682998239325/5171063802088574 25871042626813/15513191406265722
1317906691550090/4031632958288377 -13597699453119/8063265916576754
527446980/1612817869 -30476929/9676907214
17020171/52016250 2279503/52016250
18795260/57246603 -95647/38164402
79719749036275/242574367987938 2869764011/34653481141134
2120549511755/6444566444364 32457426319/9666849666546
5849563112375/17736537000182 177321379459/18657915545646
344767151/1045053750 241331179/3135161250
192793691/584000625 12441791/245895000
345280271/1045053750 19497553/1045053750
304670633/922106250 142465021/8298956250
2782842031/8421903750 1104933847/75797133750
180412614475/545917638734 132953150047/14739776245818
339339757345/1026635668746 5892827257/3079907006238
1820825/5508246 -15257/11016492
162618757/491790000 2029369/122947500
25819037125/77831752466 149767302143/18446125334442
110670/332551 -541/1995306
967592711/2882928750 218339723/2882928750
6207191479/18380651250 654427286/9190325625
3575575/10545938 180787/63275628
28891396652119/85187661633750 12191546699309/170375323267500
584723473/1721898750 6575581/90626250
81401598139/239108171250 17184075577/239108171250
157
3  0 7 4
5  0 4 2 3 1
4  1 3 14 12
4  2 4 6 5
3  2 5 3
7  3 5 11 21 20 16 14
4  4 7 8 6
4  5 6 10 11
3  6 8 10
3  7 9 8
5  8 9 17 13 10
6  9 32 34 23 24 17
3  10 13 11
6  11 13 19 26 27 21
3  12 14 15
3  13 17 19
3  14 16 15
3  15 16 18
3  16 20 18
4  17 24 25 19
4  18 20 22 29
3  19 25 26
3  20 21 22
4  21 27 28 22
3  22 28 29
4  23 34 35 24
4  24 35 36 25
5  25 36 37 30 26
3  26 30 27
4  27 30 33 28
4  28 33 39 29
4  30 37 38 33
4  31 51 50 41
3  31 41 32
5  32 41 43 40 34
3  33 38 39
3  34 40 35
6  35 40 44 46 42 36
3  36 42 37
4  37 42 45 38
5  38 45 52 54 39
3  40 43 44
4  41 50 48 43
4  42 46 49 45
4  43 48 47 44
3  44 47 46
3  45 49 52
5  46 47 57 58 49
4  47 48 53 57
3  48 50 53
5  49 58 59 55 52
4  50 51 62 53
4  51 67 65 62
3  52 55 54
5  53 62 64 61 57
3  54 55 56
5  55 59 68 74 56
3  56 74 79
4  57 61 60 58
3  58 60 59
4  59 60 63 68
4  60 61 66 63
5  61 64 70 71 66
3  62 65 64
4  63 73 75 68
4  63 66 72 73
4  64 65 69 70
3  65 67 69
3  66 71 72
4  67 78 81 69
4  68 75 77 74
5  69 81 82 76 70
3  70 76 71
4  71 76 84 72
6  72 84 92 98 85 73
4  73 85 80 75
3  74 77 79
3  75 80 77
5  76 82 87 89 84
4  77 80 95 79
3  78 86 81
4  80 85 100 95
7  81 86 94 91 88 83 82
3  82 83 87
3  83 88 87
3  84 89 92
4  85 98 105 100
6  86 142 133 122 117 94
4  87 88 90 89
3  88 91 90
4  89 90 93 92
4  90 91 96 93
4  91 94 97 96
4  92 93 99 98
4  93 96 101 99
4  94 117 104 97
3  95 100 118
4  96 97 102 101
3  97 104 102
4  98 99 106 105
6  99 101 103 107 109 106
4  100 105 121 118
3  101 102 103
7  102 104 112 110 107 108 103
3  103 108 107
5  104 117 122 113 112
4  105 106 124 121
7  106 109 111 114 120 128 124
3  107 110 109
5  109 110 113 115 111
3  110 112 113
4  111 116 119 114
3  111 115 116
4  113 122 123 115
3  114 119 120
4  115 123 125 116
4  116 125 126 119
3  118 121 129
4  119 126 127 120
5  120 127 135 134 128
4  121 124 130 129
3  122 133 123
5  123 133 141 140 125
4  124 128 131 130
4  125 140 139 126
4  126 139 138 127
3  127 138 135
3  128 134 131
3  129 130 132
4  130 131 137 132
5  131 134 136 143 137
3  132 137 148
3  133 142 141
3  134 135 136
6  135 138 147 152 151 136
4  136 151 150 143
4  137 143 149 148
4  138 139 146 147
4  139 140 145 146
4  140 141 144 145
3  141 142 144
3  143 150 149
3  144 155 145
4  145 155 154 146
4  146 154 153 147
3  147 153 152
5  148 149 162 160 159
7  149 150 156 157 161 164 162
3  150 151 156
3  151 152 156
4  152 153 157 156
4  153 154 158 157
3  154 155 158
3  157 158 161
3  159 160 163
3  160 162 163
3  162 164 163
