367
1352/8077 -13647/226156
1102263/1379000 10739/197000
8818391/11032000 42669/788000
4409339/5516000 21191/394000
441003/551600 41/788
371617/464800 203013/1542800
11622/14525 101363/771400
11622/14525 107/812
88281/110320 206/4925
220807/275800 621/19700
372191/464800 202439/1542800
372191/464800 203013/1542800
372191/464800 203587/1542800
441827/551600 104/4925
186239/232400 25269/192850
186239/232400 101363/771400
186239/232400 107/812
186239/232400 101937/771400
110511/137900 209/19700
449/560 0/1
74553/92960 40373/308560
74553/92960 202439/1542800
74553/92960 203013/1542800
74553/92960 203587/1542800
74553/92960 204161/1542800
93263/116200 25269/192850
93263/116200 101363/771400
93263/116200 107/812
93263/116200 101937/771400
373339/464800 202439/1542800
373339/464800 203013/1542800
373339/464800 203587/1542800
186813/232400 101363/771400
186813/232400 107/812
373913/464800 203013/1542800
834046839/992982550 474287249/3971930200
417294204/496491275 237556187/1985965100
835129977/992982550 475937499/3971930200
417835773/496491275 59595328/496491275
167242623/198596510 477587749/3971930200
4634/5435 9897/54350
6/7 0/1
6/7 31/3900
6/7 209/19700
6/7 121/6500
6/7 104/4925
6/7 569/19500
6/7 621/19700
6/7 773/19500
6/7 206/4925
6/7 1/20
6/7 41/788
6/7 98/1625
6/7 1569/22040
6/7 3943/55100
6/7 7927/110200
6/7 996/13775
6/7 8009/110200
6/7 17623/154280
6/7 44201/385700
6/7 88689/771400
6/7 11122/96425
6/7 89263/771400
6/7 7923/62900
6/7 325/2204
6/7 16291/110200
6/7 4083/27550
6/7 16373/110200
6/7 283/1900
6/7 369/2450
6/7 119129/660450
6/7 13/70
6/7 3/10
480527/560465 11692587/78465100
4805557/5604650 23329209/156930200
2402922/2802325 5818311/39232550
4806131/5604650 23217279/156930200
2403209/2802325 11580657/78465100
333951/388090 6913287/54332600
255/296 7/37
2551/2960 701/3700
1301051/1509600 142717/754800
319/370 351/1850
1301561/1509600 142921/754800
650801/754800 71317/377400
2215931/2569925 1834189/10279700
886501/1027970 2346603/20559400
2216396/2569925 292326/2569925
4433079/5139850 2330613/20559400
69/80 19/100
1302071/1509600 5725/30192
2216683/2569925 1161309/10279700
40691/47175 71419/377400
434051/503200 47517/251600
4433653/5139850 2314623/20559400
4433749/5139850 3665503/20559400
1277/1480 176/925
1302581/1509600 143329/754800
17603/20400 1933/10200
434221/503200 9517/50320
81419/94350 35617/188700
2217818/2569925 915657/5139850
4437523/5139850 3659753/20559400
443941/513985 1828439/10279700
148968/172375 14881/98500
9534239/11032000 118761/788000
4767263/5516000 59237/394000
9534813/11032000 118187/788000
95351/110320 1179/7880
9537809/11032000 119131/788000
596131/689500 29711/197000
9538383/11032000 118557/788000
953867/1103200 11827/78800
9538957/11032000 117983/788000
4770833/5516000 59607/394000
9541953/11032000 118927/788000
59639/68950 1483/9850
9542527/11032000 118353/788000
4771407/5516000 59033/394000
9545523/11032000 119297/788000
954581/1103200 11901/78800
9546097/11032000 118723/788000
596649/689500 29609/197000
9546671/11032000 118149/788000
477469/551600 5969/39400
9549667/11032000 119093/788000
4774977/5516000 59403/394000
9550241/11032000 118519/788000
149227/172375 14779/98500
16445892/18995725 1402939/10854700
32904993/37991450 2808753/21709400
16459101/18995725 702907/5427350
32931411/37991450 2814503/21709400
436247/503200 28371/251600
654391/754800 42413/377400
1308823/1509600 84539/754800
802/925 413/3700
261781/301920 16793/150960
3294462/3799145 1408689/10854700
327323/377400 8503/75480
1309333/1509600 84743/754800
12837/14800 207/1850
261883/301920 84169/754800
81841/94350 41941/377400
1309843/1509600 84947/754800
6421/7400 83/740
52397/60384 84373/754800
654983/754800 42043/377400
436669/503200 27933/251600
972821/1120930 11912349/156930200
2432196/2802325 1482048/19616275
4864679/5604650 11800419/156930200
2432483/2802325 5872227/78465100
12847/14800 104/925
262087/301920 84577/754800
4865253/5604650 11688489/156930200
327619/377400 8429/75480
436839/503200 28001/251600
655279/754800 20929/188700
262189/301920 84781/754800
655493/754800 42247/377400
437009/503200 28069/251600
327767/377400 1049/9435
1311109/1509600 83633/754800
9592787/11032000 60213/788000
4796537/5516000 29963/394000
9593361/11032000 59639/788000
599603/689500 7419/98500
1918787/2206400 11813/157600
4284/4925 306/4925
2399161/2758000 7537/98500
9596931/11032000 60009/788000
4798609/5516000 29861/394000
1919501/2206400 11887/157600
299931/344750 14787/197000
9600501/11032000 60379/788000
2400197/2758000 15023/197000
384043/441280 11961/157600
4800681/5516000 29759/394000
9601649/11032000 59231/788000
4802179/5516000 30231/394000
1920929/2206400 2407/31520
12189/14000 19/250
9605219/11032000 59601/788000
4802753/5516000 29657/394000
1921643/2206400 12109/157600
4804251/5516000 30129/394000
9608789/11032000 59971/788000
2402269/2758000 14921/197000
9609363/11032000 59397/788000
2403/2758 41/788
481199/551600 206/4925
240901/275800 621/19700
482409/551600 104/4925
24151/27580 209/19700
89687569/99298255 323369187/1985965100
897417259/992982550 645913249/3971930200
448979414/496491275 161272031/992982550
898500397/992982550 644262999/3971930200
449520983/496491275 321718937/1985965100
107613/116200 72089/771400
107613/116200 32731/192850
430739/464800 143891/1542800
430739/464800 28893/308560
430739/464800 261561/1542800
430739/464800 52427/308560
215513/232400 35901/385700
215513/232400 72089/771400
215513/232400 9047/96425
215513/232400 130637/771400
215513/232400 32731/192850
215513/232400 131211/771400
431313/464800 7543/81200
431313/464800 143891/1542800
431313/464800 28893/308560
431313/464800 145039/1542800
431313/464800 260987/1542800
431313/464800 261561/1542800
431313/464800 52427/308560
431313/464800 262709/1542800
13/14 0/1
13/14 14303/154280
13/14 35901/385700
13/14 72089/771400
13/14 9047/96425
13/14 72663/771400
13/14 404641/2641800
13/14 2607/15428
13/14 130637/771400
13/14 32731/192850
13/14 131211/771400
13/14 65749/385700
13/14 17/70
352
4  0 5 11 12
4  0 12 13 3
11  1 43 69 68 71 77 85 93 174 205 206
3  2 3 4
4  2 4 9 7
4  3 13 22 4
4  4 22 23 9
3  6 7 8
4  6 8 18 16
4  7 9 10 8
4  8 10 19 18
4  9 23 36 10
4  10 36 37 19
3  11 14 12
3  12 14 13
4  13 14 24 22
3  15 16 17
4  15 17 30 28
4  16 18 20 17
4  17 20 31 30
4  18 19 21 20
4  19 37 48 21
4  20 21 33 31
4  21 48 49 33
4  22 24 25 23
4  23 25 38 36
3  24 26 25
4  25 26 40 38
3  27 28 29
4  27 29 44 43
4  28 30 32 29
4  29 32 45 44
4  30 31 34 32
4  31 33 35 34
4  32 34 46 45
4  33 49 57 35
4  34 35 47 46
4  35 57 58 47
4  36 38 39 37
4  37 39 50 48
4  38 40 41 39
4  39 41 51 50
3  40 42 41
4  41 42 54 51
4  43 44 70 69
4  44 45 72 70
4  45 46 74 72
4  46 47 75 74
4  47 58 108 75
4  48 50 52 49
4  49 52 59 57
4  50 51 53 52
4  51 54 55 53
4  52 53 60 59
4  53 55 62 60
3  54 56 55
4  55 56 65 62
4  57 59 61 58
4  58 61 113 108
4  59 60 63 61
4  60 62 64 63
4  61 63 114 113
4  62 65 66 64
4  63 64 115 114
4  64 66 116 115
3  65 67 66
4  66 67 117 116
4  68 69 76 73
3  68 73 71
4  69 70 78 76
4  70 72 80 78
4  71 73 81 79
3  71 79 77
4  72 74 82 80
4  73 76 84 81
4  74 75 83 82
4  75 108 109 83
4  76 78 86 84
4  77 79 89 87
3  77 87 85
4  78 80 88 86
4  79 81 91 89
4  80 82 90 88
4  81 84 94 91
4  82 83 92 90
4  83 109 110 92
4  84 86 96 94
4  85 87 97 95
3  85 95 93
4  86 88 98 96
4  87 89 99 97
4  88 90 100 98
4  89 91 101 99
4  90 92 102 100
4  91 94 103 101
4  92 110 111 102
4  93 95 151 158
5  93 158 202 203 174
4  94 96 104 103
4  95 97 146 151
4  96 98 105 104
4  97 99 141 146
4  98 100 106 105
4  99 101 139 141
4  100 102 107 106
3  101 103 139
4  102 111 112 107
4  103 104 140 139
4  104 105 144 140
4  105 106 148 144
4  106 107 154 148
4  107 112 169 154
4  108 113 118 109
4  109 118 123 110
4  110 123 128 111
4  111 128 133 112
5  112 133 191 192 169
4  113 114 119 118
4  114 115 120 119
4  115 116 121 120
4  116 117 122 121
6  117 153 176 177 152 122
4  118 119 124 123
4  119 120 125 124
4  120 121 126 125
4  121 122 127 126
6  122 152 178 179 147 127
4  123 124 129 128
4  124 125 130 129
4  125 126 131 130
4  126 127 132 131
6  127 147 180 181 143 132
4  128 129 134 133
4  129 130 135 134
4  130 131 136 135
4  131 132 137 136
7  132 143 182 183 142 138 137
4  133 134 190 191
4  134 135 189 190
4  135 136 188 189
4  136 137 187 188
4  137 138 186 187
3  138 185 186
4  138 142 184 185
4  139 140 145 141
4  140 144 149 145
4  141 145 150 146
3  142 183 184
3  143 181 182
4  144 148 155 149
4  145 149 156 150
4  146 150 157 151
3  147 179 180
4  148 154 159 155
4  149 155 160 156
4  150 156 161 157
4  151 157 162 158
3  152 177 178
3  153 175 176
4  154 169 170 159
4  155 159 163 160
4  156 160 164 161
4  157 161 165 162
4  158 162 201 202
4  159 170 171 163
4  160 163 166 164
4  161 164 167 165
4  162 165 200 201
4  163 171 172 166
4  164 166 168 167
4  165 167 199 200
4  166 172 173 168
4  167 168 198 199
4  168 173 197 198
4  169 192 193 170
4  170 193 194 171
4  171 194 195 172
4  172 195 196 173
3  173 196 197
3  174 203 204
3  174 204 205
6  175 354 355 323 328 176
3  176 328 177
6  177 328 323 318 327 178
3  178 327 179
6  179 327 318 313 326 180
3  180 326 181
6  181 326 313 308 325 182
3  182 325 183
6  183 325 308 302 324 184
3  184 324 185
6  185 324 302 289 303 186
4  186 303 289 187
4  187 289 286 188
4  188 286 285 189
4  189 285 284 190
4  190 284 283 191
4  191 283 228 192
4  192 228 225 193
4  193 225 222 194
4  194 222 221 195
4  195 221 220 196
4  196 220 212 197
4  197 212 211 198
4  198 211 210 199
4  199 210 209 200
4  200 209 208 201
4  201 208 207 202
3  202 207 203
5  203 207 238 219 204
4  204 219 213 205
8  205 213 214 216 223 230 366 206
4  207 208 239 238
4  208 209 240 239
4  209 210 241 240
4  210 211 242 241
4  211 212 263 242
4  212 220 267 263
4  213 219 229 215
3  213 215 214
4  214 215 218 217
3  214 217 216
4  215 229 235 218
4  216 217 226 224
3  216 224 223
4  217 218 227 226
4  218 235 236 227
4  219 238 243 229
4  220 221 268 267
4  221 222 269 268
4  222 225 270 269
4  223 224 232 231
3  223 231 230
4  224 226 233 232
4  225 228 271 270
4  226 227 234 233
4  227 236 237 234
4  228 283 298 271
4  229 243 248 235
4  230 231 353 365
3  230 365 366
4  231 232 345 353
4  232 233 339 345
4  233 234 335 339
4  234 237 329 335
4  235 248 253 236
4  236 253 258 237
3  237 258 329
4  238 239 244 243
4  239 240 245 244
4  240 241 246 245
4  241 242 247 246
4  242 263 264 247
4  243 244 249 248
4  244 245 250 249
4  245 246 251 250
4  246 247 252 251
4  247 264 265 252
4  248 249 254 253
4  249 250 255 254
4  250 251 256 255
4  251 252 257 256
4  252 265 266 257
4  253 254 259 258
4  254 255 260 259
4  255 256 261 260
4  256 257 262 261
4  257 266 272 262
4  258 259 330 329
4  259 260 331 330
4  260 261 332 331
4  261 262 333 332
4  262 272 360 333
4  263 267 273 264
4  264 273 278 265
4  265 278 287 266
4  266 287 293 272
4  267 268 274 273
4  268 269 275 274
4  269 270 276 275
4  270 271 277 276
4  271 298 304 277
4  272 293 359 360
4  273 274 279 278
4  274 275 280 279
4  275 276 281 280
4  276 277 282 281
4  277 304 309 282
4  278 279 288 287
4  279 280 290 288
4  280 281 291 290
4  281 282 292 291
4  282 309 314 292
4  283 284 299 298
4  284 285 300 299
4  285 286 301 300
4  286 289 302 301
4  287 288 294 293
4  288 290 295 294
4  290 291 296 295
4  291 292 297 296
4  292 314 319 297
4  293 294 349 359
4  294 295 342 349
4  295 296 337 342
4  296 297 334 337
3  297 319 334
4  298 299 305 304
4  299 300 306 305
4  300 301 307 306
4  301 302 308 307
4  304 305 310 309
4  305 306 311 310
4  306 307 312 311
4  307 308 313 312
4  309 310 315 314
4  310 311 316 315
4  311 312 317 316
4  312 313 318 317
4  314 315 320 319
4  315 316 321 320
4  316 317 322 321
4  317 318 323 322
4  319 320 336 334
4  320 321 340 336
4  321 322 346 340
4  322 323 355 346
4  329 330 338 335
4  330 331 343 338
4  331 332 350 343
4  332 333 361 350
3  333 360 361
4  334 336 341 337
4  335 338 344 339
4  336 340 347 341
4  337 341 348 342
4  338 343 351 344
4  339 344 352 345
4  340 346 356 347
4  341 347 357 348
4  342 348 358 349
4  343 350 362 351
4  344 351 363 352
4  345 352 364 353
3  346 355 356
3  347 356 357
3  348 357 358
3  349 358 359
3  350 361 362
3  351 362 363
3  352 363 364
3  353 364 365
