184
5501711/3242084 -5501711/3242084
6  23 32 35 43 28 24
3  24 28 25
4  25 28 31 26
6  26 31 34 46 54 55
5  27 37 62 40 32
4  28 43 45 31
7  29 36 49 59 95 97 44
4  30 33 38 36
5  31 45 50 51 34
3  32 40 35
3  33 39 38
4  34 51 52 46
8  35 41 84 61 57 50 48 43
3  35 40 41
3  36 38 49
4  37 44 77 62
4  38 39 59 49
5  39 42 67 75 59
4  40 62 65 41
4  41 65 85 84
3  42 47 67
3  43 48 45
6  44 97 95 101 89 77
3  45 48 50
3  46 53 54
3  46 52 53
4  47 68 69 67
3  50 57 51
4  51 57 58 52
4  52 58 60 53
5  53 60 64 56 54
3  54 56 55
3  55 56 63
4  56 64 66 63
3  57 61 58
4  58 61 71 60
4  59 75 76 95
4  60 71 72 64
5  61 84 90 74 71
4  62 77 81 65
4  63 66 78 82
4  64 72 78 66
4  65 81 86 85
3  67 69 75
3  68 70 69
4  68 80 79 70
4  69 70 76 75
3  70 79 76
3  71 73 72
3  71 74 73
4  72 73 87 78
4  73 74 92 87
5  74 90 94 98 92
6  76 79 83 104 101 95
4  77 89 88 81
4  78 87 113 82
3  79 80 83
3  81 88 86
4  82 113 116 112
3  83 106 104
4  84 85 91 90
4  85 86 93 91
4  86 88 100 93
5  87 92 103 117 113
4  88 89 102 100
6  89 101 105 107 114 102
3  90 91 94
4  91 93 96 94
4  92 98 99 103
5  93 100 109 99 96
3  94 96 98
3  96 99 98
5  99 109 122 118 103
4  100 102 111 109
3  101 104 105
4  102 114 121 111
3  103 118 117
5  104 106 110 108 105
3  105 108 107
3  106 119 110
5  107 108 115 120 114
3  108 110 115
4  109 111 123 122
6  110 119 132 131 125 115
5  111 121 126 127 123
5  112 177 179 181 175
3  112 116 177
3  113 117 116
4  114 120 124 121
3  115 125 120
5  116 117 118 179 177
8  118 122 129 135 134 183 181 179
3  119 133 132
3  120 125 124
3  121 124 126
3  122 123 129
5  123 127 138 137 129
5  124 125 130 128 126
3  125 131 130
3  126 128 127
5  127 128 136 140 138
3  128 130 136
3  129 137 135
4  130 131 139 136
6  131 132 143 145 142 139
3  132 133 143
4  133 149 146 143
3  134 135 148
8  134 148 157 164 168 174 180 183
5  135 137 144 153 148
4  136 139 141 140
3  137 138 144
4  138 140 147 144
3  139 142 141
4  140 141 150 147
4  141 142 151 150
4  142 145 152 151
3  143 146 145
4  144 147 155 153
4  145 146 156 152
4  146 149 158 156
4  147 150 159 155
3  148 153 157
3  149 162 158
5  150 151 154 160 159
3  151 152 154
4  152 156 161 154
3  153 155 157
4  154 161 163 160
4  155 159 164 157
4  156 158 165 161
5  158 162 169 167 165
3  159 160 164
4  160 163 168 164
4  161 165 166 163
3  162 170 169
3  163 166 168
3  165 167 166
5  166 167 171 174 168
3  167 169 171
4  169 170 172 171
3  170 173 172
4  171 172 176 174
3  172 173 176
3  173 178 176
4  174 176 178 180
3  175 181 182
