183
-39940573/60084375 95958661/60084375
4  71 81 84 82
3  72 82 83
3  73 74 75
4  73 75 85 78
4  74 92 94 76
3  74 76 75
4  75 76 88 85
4  76 94 95 88
3  77 79 80
4  78 85 86 79
4  79 86 89 80
4  80 89 90 81
3  81 90 84
3  82 84 83
4  85 88 93 86
6  86 93 98 100 91 89
3  87 123 141
4  88 95 97 93
3  89 91 90
3  91 100 101
4  92 102 109 105
4  92 105 96 94
3  93 97 98
3  94 96 95
4  95 96 99 97
4  96 105 108 99
5  97 99 113 103 98
3  98 103 100
5  99 108 115 121 113
4  100 103 120 101
4  102 104 107 106
5  102 106 107 112 109
6  103 113 130 134 132 120
4  104 152 151 110
3  104 110 107
4  105 109 111 108
4  107 110 117 112
3  108 111 115
4  109 112 114 111
5  110 151 150 119 117
4  111 114 118 115
6  112 117 122 124 116 114
3  113 121 130
4  114 116 129 118
4  115 118 125 121
3  116 124 133
3  116 133 129
3  117 119 122
3  118 129 125
5  119 150 149 128 127
4  119 127 126 122
3  120 132 123
4  121 125 131 130
3  122 126 124
5  123 132 135 142 141
4  124 126 139 133
9  125 129 133 139 140 148 147 145 131
4  126 127 136 139
3  127 128 136
4  128 149 148 140
3  128 140 136
4  130 131 137 134
3  131 145 137
3  132 134 135
4  134 137 138 135
4  135 138 143 142
3  136 140 139
5  137 145 146 144 138
3  138 144 143
3  141 142 156
3  142 143 156
5  143 144 155 160 156
3  144 146 155
3  145 147 146
5  146 147 162 161 155
4  147 148 159 162
4  148 149 158 159
4  149 150 157 158
5  150 151 154 153 157
3  151 152 154
3  152 153 154
4  153 169 168 157
3  155 161 160
4  157 168 167 158
4  158 167 166 159
5  159 166 165 163 162
4  160 161 163 164
3  161 162 163
3  163 165 164
8  165 166 173 177 180 181 178 182
4  166 167 171 173
4  167 168 170 171
3  168 169 170
7  169 178 181 179 176 174 170
5  170 174 175 172 171
3  171 172 173
3  172 175 177
3  172 177 173
3  174 176 175
4  175 176 180 177
3  176 179 180
3  179 181 180
