150
-575371/6286315 1892279/3771789
4  116 117 121 122
4  117 118 120 121
3  118 119 120
3  120 130 121
4  121 130 131 122
4  122 131 132 123
4  123 132 133 124
4  124 133 134 125
4  125 134 135 126
4  126 135 136 127
4  127 136 137 128
3  128 137 129
3  130 143 131
4  131 143 142 132
4  132 142 141 133
4  133 141 140 134
4  134 140 139 135
4  135 139 138 136
3  136 138 137
3  138 139 147
4  139 140 146 147
4  140 141 145 146
4  141 142 144 145
3  142 143 144
3  144 148 145
4  145 148 149 146
3  146 149 147
